run,num_dims,num_mix_elems,w2_mix,w2_whole_grid,w2_old,time_mix,time_whole,time_old,best_eps,nr_locs_mix,nr_locs_whole,nr_locs_old
2,7,26,1.9032832384109497,8.054078102111816,tensor(1.8872),3.2807552814483643,0.08576607704162598,0.10235977172851562,5.291502622129181,97,1,26
3,5,47,1.4070223569869995,5.451364994049072,tensor(1.5816),5.51924204826355,0.1156759262084961,0.13631224632263184,4.47213595499958,97,32,47
4,9,29,2.4972174167633057,9.484660148620605,tensor(2.1117),4.461669921875,0.12049412727355957,0.13653182983398438,6.0,97,1,29
5,3,42,0.6008137464523315,1.0157865285873413,tensor(1.1966),3.395296096801758,0.06544113159179688,0.08398008346557617,5.196152422706632,101,64,42
6,10,13,2.5201292037963867,8.028809547424316,tensor(1.9664),1.99049711227417,0.060262203216552734,0.06917977333068848,6.324555320336759,97,1,52
7,3,4,0.6525257229804993,0.8880045413970947,tensor(0.6587),0.22803688049316406,0.00641322135925293,0.008256912231445312,5.196152422706632,97,64,76
8,5,19,1.420164942741394,4.710893154144287,tensor(1.3641),1.6917152404785156,0.04774284362792969,0.05711007118225098,4.47213595499958,97,32,77
9,9,47,2.537661552429199,9.759064674377441,tensor(2.1693),8.530888080596924,0.19507098197937012,0.22016477584838867,6.0,97,1,47
10,8,19,2.2082414627075195,7.90546178817749,tensor(1.7304),2.469326972961426,0.06954813003540039,0.08411073684692383,5.656854249492381,97,1,76
11,4,22,0.991192638874054,1.7857943773269653,tensor(1.4232),1.71219801902771,0.04351997375488281,0.053813934326171875,6.0,97,81,22
12,7,29,2.11118483543396,7.727904319763184,tensor(1.9041),3.6585159301757812,0.09649920463562012,0.1081857681274414,5.291502622129181,97,1,29
13,2,38,0.2404104620218277,0.33714452385902405,tensor(0.9529),2.106516122817993,0.043205976486206055,0.058451175689697266,5.656854249492381,100,100,38
14,9,17,2.3549835681915283,7.879423141479492,tensor(1.7614),2.4153482913970947,0.07077980041503906,0.0821068286895752,6.0,97,1,68
15,3,19,0.6579763293266296,1.0251988172531128,tensor(0.7796),1.1583960056304932,0.031224966049194336,0.03895688056945801,5.196152422706632,101,64,82
16,5,3,1.0352189540863037,2.594876289367676,tensor(0.8484),0.25231385231018066,0.007547855377197266,0.009060144424438477,4.47213595499958,97,32,84
17,5,15,1.352616310119629,4.266016483306885,tensor(1.2333),1.3064141273498535,0.03922414779663086,0.046727895736694336,8.94427190999916,97,32,60
18,6,40,1.745432734489441,5.169792175292969,tensor(1.7245),4.88895583152771,0.11627912521362305,0.1322340965270996,4.898979485566356,97,64,40
19,5,20,1.383939504623413,4.463413715362549,tensor(1.1529),1.815816879272461,0.04813528060913086,0.0577390193939209,4.47213595499958,97,32,82
20,10,49,2.9480016231536865,10.55201530456543,tensor(2.2366),9.563033103942871,0.22172093391418457,0.25232505798339844,6.324555320336759,97,1,49
21,9,4,2.0438132286071777,6.236770153045654,tensor(1.5642),0.5484368801116943,0.017395973205566406,0.01993703842163086,3.0,97,1,66
22,4,26,0.9534288644790649,1.7546956539154053,tensor(1.4818),2.0667359828948975,0.052214860916137695,0.06389498710632324,8.0,97,81,26
23,3,13,0.5809831023216248,0.9808636903762817,tensor(0.9550),0.7714297771453857,0.02086186408996582,0.0266571044921875,8.660254037844386,101,64,54
24,2,9,0.2779783010482788,0.33078697323799133,tensor(0.4717),0.38918209075927734,0.010390043258666992,0.013818025588989258,7.0710678118654755,101,100,85
25,9,27,2.5674242973327637,9.07986831665039,tensor(2.1638),4.079715967178345,0.11011815071105957,0.12791895866394043,6.0,97,1,27
26,10,3,1.9555951356887817,5.473025798797607,tensor(1.6882),0.4540669918060303,0.014521121978759766,0.016687870025634766,3.1622776601683795,97,1,72
27,3,12,0.6026383638381958,0.9056385159492493,tensor(0.7425),0.7134559154510498,0.019414901733398438,0.024230003356933594,5.196152422706632,101,64,53
28,9,31,2.666255474090576,9.489229202270508,tensor(2.1036),4.891140937805176,0.1298680305480957,0.14688491821289062,6.0,97,1,31
29,3,31,0.6397807598114014,1.1307289600372314,tensor(1.2022),2.1362109184265137,0.04927778244018555,0.0639030933380127,8.660254037844386,101,64,31
30,7,22,2.046037435531616,7.771951198577881,tensor(1.8086),2.6875109672546387,0.07698678970336914,0.08281302452087402,5.291502622129181,97,1,22
31,4,37,1.0510133504867554,1.843230128288269,tensor(1.4333),3.508315086364746,0.07587075233459473,0.09620499610900879,6.0,97,81,37
32,3,41,0.6865116357803345,1.1312510967254639,tensor(1.2098),3.2839839458465576,0.06385493278503418,0.1662001609802246,6.928203230275509,101,64,41
33,2,3,0.21530269086360931,0.24245710670948029,tensor(0.2487),0.12762904167175293,0.003757953643798828,0.00513911247253418,7.0710678118654755,101,100,90
34,5,45,1.4398075342178345,5.431368350982666,tensor(1.6012),5.152146100997925,0.11151790618896484,0.13246798515319824,6.708203932499369,97,32,45
35,2,30,0.29094064235687256,0.42558830976486206,tensor(1.0095),1.5919458866119385,0.03473711013793945,0.04444384574890137,5.656854249492381,100,100,30
36,4,30,1.0461808443069458,1.8871756792068481,tensor(1.4156),2.469336986541748,0.06203603744506836,0.07533907890319824,6.0,97,81,30
37,2,45,0.2449459433555603,0.3354639410972595,tensor(1.0009),2.835062026977539,0.051969051361083984,0.07146334648132324,7.0710678118654755,101,100,45
38,8,43,2.28501033782959,8.475790023803711,tensor(2.0739),6.931978940963745,0.16184425354003906,0.1835160255432129,5.656854249492381,97,1,43
39,5,32,1.402091383934021,4.327843189239502,tensor(1.6170),3.1675307750701904,0.07660293579101562,0.09546279907226562,6.708203932499369,97,32,32
40,2,35,0.2590685188770294,0.36582469940185547,tensor(0.9777),1.9230320453643799,0.0417180061340332,0.05518817901611328,5.656854249492381,100,100,35
41,2,5,0.2620733380317688,0.3068873882293701,tensor(0.3136),0.21762704849243164,0.0058498382568359375,0.007842063903808594,5.656854249492381,100,100,98
42,7,33,2.030393600463867,8.42623233795166,tensor(1.9232),4.232764959335327,0.11064887046813965,0.12438607215881348,5.291502622129181,97,1,33
43,9,20,2.546898126602173,8.437040328979492,tensor(1.7492),2.9664671421051025,0.08049511909484863,0.09867024421691895,6.0,97,1,80
44,3,48,0.6341903209686279,1.1246005296707153,tensor(1.2267),4.043195009231567,0.07860398292541504,0.09336304664611816,8.660254037844386,101,64,48
45,8,26,2.2799689769744873,8.372770309448242,tensor(1.9918),3.553844928741455,0.09708213806152344,0.11110973358154297,5.656854249492381,97,1,26
46,7,7,2.097825765609741,7.194224834442139,tensor(1.4090),0.7809069156646729,0.022769927978515625,0.026832103729248047,5.291502622129181,97,1,57
47,2,15,0.2568517327308655,0.3274463713169098,tensor(0.5560),0.6844737529754639,0.018337011337280273,0.02421283721923828,5.656854249492381,100,100,66
48,7,24,2.117879867553711,9.31643295288086,tensor(1.8730),2.944592237472534,0.07647085189819336,0.09439206123352051,5.291502622129181,97,1,24
49,3,33,0.6422207355499268,1.1064010858535767,tensor(1.1420),2.2783432006835938,0.05227303504943848,0.06807184219360352,5.196152422706632,101,64,33
50,2,47,0.2640897333621979,0.3565293252468109,tensor(0.9633),3.0102038383483887,0.05496668815612793,0.07486414909362793,5.656854249492381,101,100,47
51,9,48,2.4237847328186035,9.647974967956543,tensor(2.1532),8.484412908554077,0.19817709922790527,0.22675204277038574,6.0,97,1,48
